Model Directory,Time to Goal (s)
acrobot_grid_000_0.1-0.1-0.1-0.1_train,FAIL
acrobot_grid_001_0.1-0.1-0.1-1.0_train,FAIL
acrobot_grid_002_0.1-0.1-0.1-2.0_train,FAIL
acrobot_grid_003_0.1-0.1-1.0-0.1_train,FAIL
acrobot_grid_004_0.1-0.1-1.0-1.0_train,FAIL
acrobot_grid_005_0.1-0.1-1.0-2.0_train,FAIL
acrobot_grid_006_0.1-0.1-2.0-0.1_train,FAIL
acrobot_grid_007_0.1-0.1-2.0-1.0_train,FAIL
acrobot_grid_008_0.1-0.1-2.0-2.0_train,FAIL
acrobot_grid_009_0.1-1.0-0.1-0.1_train,FAIL
acrobot_grid_010_0.1-1.0-0.1-1.0_train,FAIL
acrobot_grid_011_0.1-1.0-0.1-2.0_train,FAIL
acrobot_grid_012_0.1-1.0-1.0-0.1_train,FAIL
acrobot_grid_013_0.1-1.0-1.0-1.0_train,FAIL
acrobot_grid_014_0.1-1.0-1.0-2.0_train,FAIL
acrobot_grid_015_0.1-1.0-2.0-0.1_train,FAIL
acrobot_grid_016_0.1-1.0-2.0-1.0_train,FAIL
acrobot_grid_017_0.1-1.0-2.0-2.0_train,FAIL
acrobot_grid_018_0.1-2.0-0.1-0.1_train,FAIL
acrobot_grid_019_0.1-2.0-0.1-1.0_train,FAIL
acrobot_grid_020_0.1-2.0-0.1-2.0_train,FAIL
acrobot_grid_021_0.1-2.0-1.0-0.1_train,FAIL
acrobot_grid_022_0.1-2.0-1.0-1.0_train,FAIL
acrobot_grid_023_0.1-2.0-1.0-2.0_train,FAIL
acrobot_grid_024_0.1-2.0-2.0-0.1_train,FAIL
acrobot_grid_025_0.1-2.0-2.0-1.0_train,FAIL
acrobot_grid_026_0.1-2.0-2.0-2.0_train,FAIL
acrobot_grid_027_1.0-0.1-0.1-0.1_train,FAIL
acrobot_grid_028_1.0-0.1-0.1-1.0_train,FAIL
acrobot_grid_029_1.0-0.1-0.1-2.0_train,FAIL
acrobot_grid_030_1.0-0.1-1.0-0.1_train,FAIL
acrobot_grid_031_1.0-0.1-1.0-1.0_train,FAIL
acrobot_grid_032_1.0-0.1-1.0-2.0_train,FAIL
acrobot_grid_033_1.0-0.1-2.0-0.1_train,FAIL
acrobot_grid_034_1.0-0.1-2.0-1.0_train,FAIL
acrobot_grid_035_1.0-0.1-2.0-2.0_train,FAIL
acrobot_grid_036_1.0-1.0-0.1-0.1_train,FAIL
acrobot_grid_037_1.0-1.0-0.1-1.0_train,FAIL
acrobot_grid_038_1.0-1.0-0.1-2.0_train,FAIL
acrobot_grid_039_1.0-1.0-1.0-0.1_train,FAIL
acrobot_grid_040_1.0-1.0-1.0-1.0_train,FAIL
acrobot_grid_041_1.0-1.0-1.0-2.0_train,FAIL
acrobot_grid_042_1.0-1.0-2.0-0.1_train,FAIL
acrobot_grid_043_1.0-1.0-2.0-1.0_train,FAIL
acrobot_grid_044_1.0-1.0-2.0-2.0_train,FAIL
acrobot_grid_045_1.0-2.0-0.1-0.1_train,FAIL
acrobot_grid_046_1.0-2.0-0.1-1.0_train,FAIL
acrobot_grid_047_1.0-2.0-0.1-2.0_train,FAIL
acrobot_grid_048_1.0-2.0-1.0-0.1_train,FAIL
acrobot_grid_049_1.0-2.0-1.0-1.0_train,FAIL
acrobot_grid_050_1.0-2.0-1.0-2.0_train,FAIL
acrobot_grid_051_1.0-2.0-2.0-0.1_train,FAIL
acrobot_grid_052_1.0-2.0-2.0-1.0_train,FAIL
acrobot_grid_053_1.0-2.0-2.0-2.0_train,FAIL
acrobot_grid_054_2.0-0.1-0.1-0.1_train,FAIL
acrobot_grid_055_2.0-0.1-0.1-1.0_train,FAIL
acrobot_grid_056_2.0-0.1-0.1-2.0_train,FAIL
acrobot_grid_057_2.0-0.1-1.0-0.1_train,FAIL
acrobot_grid_058_2.0-0.1-1.0-1.0_train,FAIL
acrobot_grid_059_2.0-0.1-1.0-2.0_train,FAIL
acrobot_grid_060_2.0-0.1-2.0-0.1_train,FAIL
acrobot_grid_061_2.0-0.1-2.0-1.0_train,FAIL
acrobot_grid_062_2.0-0.1-2.0-2.0_train,FAIL
acrobot_grid_063_2.0-1.0-0.1-0.1_train,FAIL
acrobot_grid_064_2.0-1.0-0.1-1.0_train,FAIL
acrobot_grid_065_2.0-1.0-0.1-2.0_train,FAIL
acrobot_grid_066_2.0-1.0-1.0-0.1_train,FAIL
acrobot_grid_067_2.0-1.0-1.0-1.0_train,FAIL
acrobot_grid_068_2.0-1.0-1.0-2.0_train,FAIL
acrobot_grid_069_2.0-1.0-2.0-0.1_train,FAIL
acrobot_grid_070_2.0-1.0-2.0-1.0_train,FAIL
acrobot_grid_071_2.0-1.0-2.0-2.0_train,FAIL
acrobot_grid_072_2.0-2.0-0.1-0.1_train,FAIL
acrobot_grid_073_2.0-2.0-0.1-1.0_train,FAIL
acrobot_grid_074_2.0-2.0-0.1-2.0_train,FAIL
acrobot_grid_075_2.0-2.0-1.0-0.1_train,FAIL
acrobot_grid_076_2.0-2.0-1.0-1.0_train,FAIL
acrobot_grid_077_2.0-2.0-1.0-2.0_train,FAIL
acrobot_grid_078_2.0-2.0-2.0-0.1_train,FAIL
acrobot_grid_079_2.0-2.0-2.0-1.0_train,FAIL
acrobot_grid_080_2.0-2.0-2.0-2.0_train,FAIL
