Model Directory,Time to Goal (s)
double_pendulum_grid_000_0.1-0.1-0.1-0.1_train,0.6167
double_pendulum_grid_001_0.1-0.1-0.1-1.0_train,1.6917
double_pendulum_grid_002_0.1-0.1-0.1-2.0_train,FAIL
double_pendulum_grid_003_0.1-0.1-1.0-0.1_train,FAIL
double_pendulum_grid_004_0.1-0.1-1.0-1.0_train,3.3833
double_pendulum_grid_005_0.1-0.1-1.0-2.0_train,2.5750
double_pendulum_grid_006_0.1-0.1-2.0-0.1_train,0.4083
double_pendulum_grid_007_0.1-0.1-2.0-1.0_train,FAIL
double_pendulum_grid_008_0.1-0.1-2.0-2.0_train,1.1833
double_pendulum_grid_009_0.1-1.0-0.1-0.1_train,FAIL
double_pendulum_grid_010_0.1-1.0-0.1-1.0_train,1.4583
double_pendulum_grid_011_0.1-1.0-0.1-2.0_train,0.5917
double_pendulum_grid_012_0.1-1.0-1.0-0.1_train,1.1833
double_pendulum_grid_013_0.1-1.0-1.0-1.0_train,0.6750
double_pendulum_grid_014_0.1-1.0-1.0-2.0_train,1.2333
double_pendulum_grid_015_0.1-1.0-2.0-0.1_train,FAIL
double_pendulum_grid_016_0.1-1.0-2.0-1.0_train,1.0083
double_pendulum_grid_017_0.1-1.0-2.0-2.0_train,0.7917
double_pendulum_grid_018_0.1-2.0-0.1-0.1_train,FAIL
double_pendulum_grid_019_0.1-2.0-0.1-1.0_train,FAIL
double_pendulum_grid_020_0.1-2.0-0.1-2.0_train,FAIL
double_pendulum_grid_021_0.1-2.0-1.0-0.1_train,FAIL
double_pendulum_grid_022_0.1-2.0-1.0-1.0_train,FAIL
double_pendulum_grid_023_0.1-2.0-1.0-2.0_train,1.1833
double_pendulum_grid_024_0.1-2.0-2.0-0.1_train,FAIL
double_pendulum_grid_025_0.1-2.0-2.0-1.0_train,FAIL
double_pendulum_grid_026_0.1-2.0-2.0-2.0_train,0.9917
double_pendulum_grid_027_1.0-0.1-0.1-0.1_train,FAIL
double_pendulum_grid_028_1.0-0.1-0.1-1.0_train,FAIL
double_pendulum_grid_029_1.0-0.1-0.1-2.0_train,FAIL
double_pendulum_grid_030_1.0-0.1-1.0-0.1_train,FAIL
double_pendulum_grid_031_1.0-0.1-1.0-1.0_train,1.0167
double_pendulum_grid_032_1.0-0.1-1.0-2.0_train,FAIL
double_pendulum_grid_033_1.0-0.1-2.0-0.1_train,FAIL
double_pendulum_grid_034_1.0-0.1-2.0-1.0_train,1.3417
